docid,volid,recordid,author,firstname,inferreddate,birthdate,authgender,enumcron,title,genre
nyp.33433082397815,nyp.33433082397815,1024873,"Sherard, Robert Harborough,",Robert Harborough,1902,,m,,"Oscar Wilde, the story of an unhappy friendship",nonfic
uc2.ark+=13960=t1kh0h669,uc2.ark+=13960=t1kh0h669,6572048,"Forman, Henry James,",Henry James,1910,,m,,In the footprints of Heine,nonfic
loc.ark+=13960=t77s8gs7b,loc.ark+=13960=t77s8gs7b,9576928,"Forder, Archibald,",Archibald,1905,,u,,"'Ventures among the Arabs in desert, tent and town;",nonfic
14630,nyp.33433075909923,,"Borrow, George Henry,",,1862,,m,v. 3,Wild Wales,nonfic
loc.ark+=13960=t6k07jk32,loc.ark+=13960=t6k07jk32,9593250,"Evans, Conway.",Conway,1914,,m,,An account of our arresting experiences,nonfic
13654,uiuo.ark+=13960=t16m3rx1z,,,,1843,,u,v.1,Magic and mesmerism,nonfic
13345,uiuo.ark+=13960=t3rv0w958,,,,1848,,u,v.3,"The count, or, Sublinary life",
2204,dul1.ark+=13960=t66401k8k,,"Bellamy, Edward,",,1888,,m,,"Looking backward, 2000-1887",
4796,nyp.33433082495098,,"Smith, Seba,",,1846,,m,,Dew-drops of the nineteenth century,
6364,uc1.b3322743,,"Herbert, Henry William,",,1840,,m,v.1,Oliver Cromwell,
nyp.33433074876198,nyp.33433074876198,8666692,"MacIlwaine, Herbert C.",Herbert C,1900,,m,,Fate the fiddler,
uc2.ark+=13960=t9w08zb1x,uc2.ark+=13960=t9w08zb1x,7673343,"Strindberg, August,",August,1914,,m,,Fair haven and foul strand,
uc2.ark+=13960=t81j97z91,uc2.ark+=13960=t81j97z91,7658475,"Erskine, Payne,",Payne,1915,,f,,A girl of the Blue Ridge,
14937,uiuo.ark+=13960=t9m33gx8s,,"Dutton, Ralph, Mrs.",,1860,,f,v.2,Woman's temptation,
5890,njp.32101037989942,,"Nares, Edward,",,1812,,m,vol.1,Thinks-I-to-myself,
4506,nyp.33433075849897,,"Flygare-CarlÃ©n, Emilie,",,1853,,f,,"Gustavus Lindorm, or, Lead us not into temptation",
6943,uc2.ark+=13960=t39z9258d,,"Thurston, Louise M.",,1872,,f,,The children of Amity court,
nyp.33433076056971,nyp.33433076056971,7649949,"Waller, Mary E. (Mary Ella),",Mary E,1907,,f,,The wood-carver of 'Lympus,
uc2.ark+=13960=t3319tv89,uc2.ark+=13960=t3319tv89,7646164,"Rosenkrantz, Palle, baron,",Palle,1908,,u,,The magistrate's own case,
14807,mdp.39015063556404,,"Opie, Amelia Alderson,",,1818,,f,v.2,New tales,
14092,mdp.39015063927506,,"Trollope, Thomas Adolphus,",,1870,,m,v.3,A siren,
14206,uiuo.ark+=13960=t8tb1rk9b,,"Tabor, Eliza.",,1864,,f,v.1,Janita's cross,
14398,njp.32101071988966,,"Dumas, Alexandre,",,1895,,m,v.4,Celebrated crimes,genre
4907,hvd.32044024346314,,,,1827,,u,,Nahant,
13773,uiuo.ark+=13960=t0bv8186f,,"(Georgiana Marion), Craik, Georgiana M.",,1879,,f,v.3,Dorcas,
9135,mdp.39015059376460,,,,1830,,u,v.38,The New British novelist;,
3400,nyp.33433081749974,,"Weir, James,",,1852,,m,,"Simon Kenton, or, The scout's revenge",
12999,nyp.33433075830319,,"Hugo, Victor,",,1866,,m,,Jargal,
4313,uc2.ark+=13960=t6n01191n,,"Hurstone, J. P.",,1808,,u,v.2,"Royal intrigues, or, Secret memoirs of four princesses",
uc2.ark+=13960=t7wm15j9z,uc2.ark+=13960=t7wm15j9z,7661269,"Hichens, Robert Smythe, 1864-1950.",Robert Smythe 1864-1950,1921,,m,,The spirit of the time;,
10511,uc2.ark+=13960=t15m6474t,,"Balzac, HonorÃ© de,",,1898,,m,v.1,The deputy from Arcis /[tr.] by G. Burnham Ives,
13592,nyp.33433074954961,,"Cullen, Margaret.",,1802,,f,v. 3,Home,
4703,nyp.33433074880943,,"Marryat, Frederick,",,1837,,m,v. 1,"Snarleyyow; or, The dog fiend",
14324,nyp.33433074915111,,"Lady Morgan, (Sydney),",,1806,,f,v. 1,The novice of Saint Dominick,genre
14176,uiuo.ark+=13960=t45q5ff94,,Royalist.,,1867,,u,v.1,The loyalist's daughter,
uc2.ark+=13960=t4sj1b73n,uc2.ark+=13960=t4sj1b73n,7659105,"Gale, Oliver Marble,",Oliver Marble,1909,,m,,A knight of the wilderness,
nyp.33433076074776,nyp.33433076074776,8658866,"Lockhart, Caroline,",Caroline,1915,,f,,The man from the bitter roots,
10446,mdp.39015065444757,,,,1818,,u,v.1,Manners,
11372,njp.32101068167129,,Dalton.,,1831,,u,vol.3,"Chartley, the fatalist",
14861,uiuo.ark+=13960=t98635387,,"(Margaret), Oliphant, Mrs.",,1879,,f,v.1,Within the precincts,
1018,nyp.33433074878574,,"Miss, Leslie,",,1841,,f,,Mr. and Mrs. Woodbridge,
1785,hvd.32044020546784,,"Sabin, Elijah R. (Elijah Robinson),",,1816,,m,,The life and reflections of Charles Observator,
14236,uc1.b250112,,"Lytton, Edward Bulwer Lytton,",,1860,,m,v.1,What will he do with it?,
14165,njp.32101068169547,,"Gaspey, Thomas William,",,1821,,m,vol.1,"Calthorpe; or, Fallen fortunes",
14724,uiuo.ark+=13960=t9c549718,,"Disraeli, Benjamin, Earl of Beaconsfield,",,1826,,m,v. 3,Vivian Grey,
1247,nyp.33433074945969,,"Aguilar, Grace,",,1852,,f,v. 2,The days of Bruce,
12524,nyp.33433076071400,,"Paxton, Philip,",,1855,,m,,The wonderful adventures of Captain Priest;,
11415,uva.x001130949,,"Marsh, Catherine,",,1859,,f,,A light for the line;,
14724,uiuo.ark+=13960=t9c549686,,"Disraeli, Benjamin, Earl of Beaconsfield,",,1826,,m,v. 5,Vivian Grey,
14101,nyp.33433074913264,,"Hervey, Elizabeth,",,1800,,f,v. 1,The Mourtray family,
14820,uiuo.ark+=13960=t8kd2ht61,,"Roche, Regina Maria,",,1807,,f,v.3,The discarded son;,
438,mdp.39015064002853,,"Mrs. Bray, (Anna Eliza),",,1815,,f,v.10,The novels and romances of Anna Eliza Bray,
uc2.ark+=13960=t6k06z94j,uc2.ark+=13960=t6k06z94j,665500,"(Irvin Shrewsbury), Cobb, Irvin S.",Irvin S,1915,,m,,"""Speaking of operations--""",
11264,uiuo.ark+=13960=t64467t7c,,"Nugent, George Nugent Grenville, Baron,",,1832,,m,v.2,Legends of the library at Lilies,
5773,mdp.39015056097093,,"Ford, James L. (James Lauren),",,1892,,m,,Dr. Dodd's school,
13624,mdp.39015063617438,,"Hook, James,",,1824,,m,v.3,Percy Mallory,
uc1.b4093264,uc1.b4093264,326659,"Gerould, Katharine Fullerton,",Katharine Fullerton,1922,,f,,Valiant dust,
10683,nnc1.1002187531,,"Elliott, Humphrey.",,1889,,m,,Adam Kent's choice;,
5691,wu.89087924841,,"Averill, Charles E.",,1848,,m,,"The secret service ship; or, The fall of San Juan d'Ulloa",
13167,uiuo.ark+=13960=t3029fh8p,,"Phillpotts, Mary Charlotte.",,1872,,f,v.1,Janet's choice,
12952,uc2.ark+=13960=t2r49hp23,,"Washburn, Katharine Sedgwick.",,1874,,f,,The Italian girl,
2087,nyp.33433075735468,,"WÃ_chter, Leonhard,",,1801,,m,,The black valley,
207,njp.32101067179091,,"Trollope, Anthony,",,1873,,m,v.1,Lady Anna,
13507,uiuo.ark+=13960=t1hh6x83c,,"Grey, Elizabeth Caroline.",,1852,,f,v.2,Mary Seaham. A novel,
14531,njp.32101038084743,,"Maturin, Charles Robert,",,1808,,m,vol.3,The wild Irish boy,
