,docid,storyid,date,gender,author,title,authgender,nationality,firstpub,tags,birthdate
44141,mdp.39015025957369|Nasso,mdp.39015025957369,1912,m,"Dragoumē, Ioulia D.,",Tales of a Greek island,u,,1912,m,0
33346,4104|Garrick,4104,1887,m,"Mrs. Kennard, Nina H.,",Mrs. Siddons,f,,1887,m,0
56192,mdp.39015013019834|Mose,mdp.39015013019834,1947,m,"Jr. (Alfred Bertram), Guthrie, A. B.,","The big sky | $c: [by] A. B. Guthrie, jr.",m,,1947,m,0
32440,91|George,91,1885,m,"Patridge, Lelia E. (Lelia Ellen)",The  Quincy methods  illustrated,f,,1885,m,0
53764,mdp.39015030707023|Stephen,mdp.39015030707023,1936,m,"Massie, Chris,",Falcon road.,m,,1936,m,0
48187,mdp.39015031223335|Bruce,mdp.39015031223335,1926,m,"Clifford, Hugh Charles, Sir,","In days that are dead, | $c: by Sir Hugh Clifford.",m,,1926,m,0
20893,4964|Abner,4964,1856,m,"Reade, Charles,",It is never too late to mend,m,,1856,m,0
36827,2947|William,2947,1896,m,,The household of Sir Thomas More,m,,1896,m,0
28245,14016|Jerome,14016,1875,m,"Collins, Wilkie,",The law and the lady;,m,,1875,m,0
32151,9265|Mr.Hawkshaw,9265,1886,m,"Gray, Maxwell,",The silence of Dean Maitland,f,,1886,m,0
45259,uc2.ark+=13960=t6xw4b18r|Peter,uc2.ark+=13960=t6xw4b18r,1916,m,"Cannan, Gilbert,",Three sons and a mother,m,,1916,m,0
25621,15069|Maurice,15069,1860,m,"Daniel, Mrs., Robert Mackenzie.",Tried in the fire. A tale,f,,1860,m,0
57860,mdp.39015051325234|Morcar,mdp.39015051325234,1946,m,"Bentley, Phyllis Eleanor,",The rise of Henry Morcar | $c: [by] Phyllis Bentley.,f,,1946,m,0
20643,7041|Johnny,7041,1853,m,"Torrey, Mary Ide,",City and country life,f,,1853,m,0
57762,mdp.39015071563491|Tod,mdp.39015071563491,1946,m,"Park, Nettie Wolcott.",Mehitabel: | girl pioneer; the story of her adventurous journey West with Tod and the triplets; | $c: illustrations by Harold Cue.,f,,1946,m,0
52287,mdp.39015059421746|Josh,mdp.39015059421746,1937,m,"Bristow, Gwen,","Deep summer, | $c: by Gwen Bristow.",f,,1937,m,0
33232,9466|Batti,9466,1882,m,"Glümer, Claire von,",A noble name,f,,1882,m,0
56488,pst.000053782748|ChiChou,pst.000053782748,1949,m,,All men are brothers / | $c: translated from the Chinese by Pearl S. Buck ; with an introduction by Lin Yutang and illustrations by Miguel Covarrubias.,u,,1949,m,0
36201,14172|Ward,14172,1896,m,"Skinner, Charles M. (Charles Montgomery),",Myths and legends of our own land,m,,1896,m,0
52803,uc1.$b74559|Popovic,uc1.$b74559,1932,m,"Brehm, Bruno,","They call it patriotism / | $c: by Bruno Brehm ; translated from the German of ""Apis und Este"" by Margaret Goldsmith.",m,,1932,m,0
29798,12098|Raoul,12098,1876,m,"Cooper, James Fenimore,",[The works of J. Fenimore Cooper],m,,1876,m,0
36355,10036|Baker,10036,1890,m,"Fothergill, Jessie,",A march in the ranks,f,,1890,m,0
40283,mdp.39015063919206|Pete,mdp.39015063919206,1908,m,"Hare, Thomas Truxtun,",A sophomore half-back,m,,1908,m,0
56742,wu.89069099687|Mr.Schmidt,wu.89069099687,1942,m,"Padowicz, Barbara. Mrs.",Flight to freedom.,f,,1942,m,0
37013,2658|M.deMabillon,2658,1890,m,"Lyall, Edna,",Won by waiting;,f,,1890,m,0
21704,7538|Philip,7538,1859,m,"Chamerovzow, Louis Alexis.",The chronicles of the Bastile,m,,1859,m,0
53200,uc1.b3711236|Macgoblin,uc1.b3711236,1935,m,"Lewis, Sinclair,","It can't happen here; | a novel, | $c: by Sinclair Lewis.",m,,1935,m,0
32797,10789|Jonathan,10789,1889,m,"Boldrewood, Rolf,",Robbery under arms,m,,1889,m,0
40347,uc2.ark+=13960=t9m32p03c|John,uc2.ark+=13960=t9m32p03c,1900,m,"Wickersham, James Alexander,",Enoch Willoughby,m,,1900,m,0
33513,14637|Nigel,14637,1881,m,"Earl of Beaconsfield, Disraeli, Benjamin,",Novels and tales by the Earl of Beaconsfield,m,,1881,m,0
32040,8783|Shakespeare,8783,1883,m,"Fitzgerald, Percy Hetherington,",Kings and queens of an hour,m,,1883,m,0
28724,877|Compton,877,1873,m,"Stephens, Ann S. (Ann Sophia),",Bellehood and bondage,f,,1873,m,0
29232,9381|Tom,9381,1872,m,"Lever, Charles James,",[Charles Lever's novels,m,,1872,m,0
48655,wu.89066967514|Diego,wu.89066967514,1926,m,"Mitchell, Lucy Sprague,","Horses now and long ago, | $c: by Lucy Sprague Mitchell...with maps and drawings by the author and many photographs.",f,,1926,m,0
36284,12300|Dr.Hickox,12300,1898,m,"Noble, Annette Lucile,",The silent man's legacy,f,,1898,m,0
48967,uc1.$b137149|Thomas,uc1.$b137149,1926,m,"Søiberg, Harry,","The Sea king,",m,,1926,m,0
33880,10643|Cosmo,10643,1881,m,"MacDonald, George,",Warlock O'Glenwarlock;,m,,1881,m,0
40263,uc2.ark+=13960=t3125s10g|Houghton,uc2.ark+=13960=t3125s10g,1904,m,"Lawrence, Albert Lathrop,",The wolverine;,u,,1904,m,0
53642,wu.89099766032|Gaffney,wu.89099766032,1933,m,"Packard, Frank L. (Frank Lucius),","The purple ball,/ | $c: by Frank L. Packard.",m,,1933,m,0
25460,14373|Mr.Bull,14373,1864,m,"Beale, Anne.","Nothing venture, nothing have",f,,1864,m,0
57268,uc1.32106008751593|Schwartz,uc1.32106008751593,1946,m,,"The hard-boiled omnibus; | early stories from Black mask,",u,,1946,m,0
33659,8641|Brian,8641,1885,m,"Duchess,",Doris,f,,1885,m,0
44008,nyp.33433074946801|LincolnLodge,nyp.33433074946801,1916,m,"Clouston, J. Storer (Joseph Storer),",Count Bunker;,m,,1916,m,0
29358,8362|JulianHarfleur,8362,1876,m,"Andrews, Eliza Frances,",A family secret,u,,1876,m,0
29571,12440|ShahManssur,12440,1871,m,"Farāhī, Barkhvurdār ibn Ma.hmūd,",Amusing stories,m,,1871,m,0
40244,mdp.39015071622653|William,mdp.39015071622653,1907,m,"Tateum, William Aldrich.",Before the blazing back-log,m,,1907,m,0
36760,14172|Dane,14172,1896,m,"Skinner, Charles M. (Charles Montgomery),",Myths and legends of our own land,m,,1896,m,0
19949,153|Mr.Dudley,153,1858,m,,Broken cisterns,u,,1858,m,0
33734,14388|Mr.Brander,14388,1889,m,"Warden, Florence,",St. Cuthbert's Tower,f,,1889,m,0
36620,7524|Dr.Carr,7524,1891,m,"Coolidge, Susan,",In the high valley,f,,1891,m,0
32274,5611|Buntline,5611,1886,m,"(Charles Martin), Newell, C. M.",The voyage of the Fleetwing;,m,,1886,m,0
53344,mdp.39015024573860|Simon,mdp.39015024573860,1933,m,"Körmendi, Ferenc,",Escape to life / | $c: by Ferenc Körmendi ; [translated from the Hungarian by E. I. Holt and M. L. Elting],u,,1933,m,0
27951,5449|Mr.Whitman,5449,1875,m,"Dall, Caroline Wells Healey,",The romance of the Association;,f,,1875,m,0
28142,12092|bush,12092,1876,m,"Cooper, James Fenimore,",[The works of J. Fenimore Cooper],m,,1876,m,0
57749,uc1.b3541063|JohnGwilt,uc1.b3541063,1943,m,"Burnett, Whit,","Two bottles of relish; | a book of strange and unusual stories, | $c: edited by Whit Burnett, illustrated by Carlotta Petrina.",m,,1943,m,0
29313,2156|Mr.Steinbach,2156,1875,m,"Warfield, Catherine Ann (Catherine Ann Ware),",Hester Howard's temptation,f,,1875,m,0
32560,1789|Gans,1789,1887,m,"Hugo, Victor,",The romances of Victor Hugo,m,,1887,m,0
24479,12270|AngusCampbell,12270,1869,m,,Scottish stories from the Family treasure,u,,1869,m,0
57901,uc1.$b106056|Cobb,uc1.$b106056,1941,m,"Lanham, Edwin,","Thunder in the earth, | $c: by Edwin Lanham.",m,,1941,m,0
24870,8949|Robert,8949,1862,m,"Chermside, R. H.",An only son,u,,1862,m,0
49634,mdp.39015051144635|Jenico,mdp.39015051144635,1928,m,"Byrne, Donn,","Destiny Bay, | $c: by Donn Byrne.",m,,1928,m,0
57588,mdp.39015031442489|Tim,mdp.39015031442489,1943,m,"Grafton, C. W. (Cornelius Warren),","The rat began to gnaw the rope, | $c: by C. W. Grafton.",m,,1943,m,0
21037,2154|AllanBirch,2154,1855,m,"Trowbridge, J. T. (John Townsend),",Ironthorpe,m,,1855,m,0
37321,14806|FredSummers,14806,1892,m,"Kevill-Davies, Albert.",Miss Blanchard of Chicago,m,,1892,m,0
36776,2359|NikolaiIvanitch,2359,1895,m,"Turgenev, Ivan Sergeevich,",A sportsman's sketches,f,,1895,m,0
24914,3954|M.deSaxe,3954,1864,m,"Lady, Fullerton, Georgiana,",Too strange not to be true,f,,1864,m,0
24216,11001|Willoughby,11001,1860,m,"Arthur, T. S. (Timothy Shay),","Twenty years ago, and now",m,,1860,m,0
36318,11043|Mr.Shaw,11043,1896,m,"Landon, Melville D. (Melville De Lancey),",Kings of the platform and pulpit,m,,1896,m,0
32107,12396|Tom,12396,1889,m,"Brush, Christine C. (Christine Chaplin),",Inside our gate,f,,1889,m,0
44631,nyp.33433067296776|ShelekPasha,nyp.33433067296776,1912,m,"Parker, Gilbert,",The works of Gilbert Parker.,m,,1912,m,0
48488,wu.89099240335|Mr.Bozro,wu.89099240335,1925,m,"Turner, George Kibbe,","Hagar's hoard/ | $c: [by] George Kibbe Turner, introduction by Joseph Hergesheimer.",m,,1925,m,0
48889,mdp.39015068305633|Roosevelt,mdp.39015068305633,1929,m,"Anthony, Irvin,","Paddle wheels and pistols,",m,,1929,m,0
37621,3323|Wyndham,3323,1895,m,"Duchess,",The professor's experiment,f,,1895,m,0
52814,uc1.$b243918|Roberts,uc1.$b243918,1934,m,"Norris, Charles Gilman,",Zest / | $c: by Charles G. Norris.,m,,1934,m,0
41516,uc2.ark+=13960=t3jw87r29|Mr.Christensen,uc2.ark+=13960=t3jw87r29,1906,m,"(Herman Knickerbocker), Vielé, Herman K.",Myra of the pines,m,,1906,m,0
56373,uc1.b3116712|FatherDelaney,uc1.b3116712,1948,m,"McLaverty, Michael.",The three brothers.,m,,1948,m,0
