,docid,storyid,date,gender,author,title,authgender,nationality,firstpub,tags,birthdate
73388,mdp.39015048785961|Barnabas,mdp.39015048785961,1986,m,"Cash, Johnny.",Man in white : | a novel / | $c: Johnny Cash.,m,,1986,m,0
61115,mdp.39015016449889|Tom,mdp.39015016449889,1956,m,"March, William,",A William March omnibus. | $c: With an introd. by Alistair Cooke.,m,,1956,m,0
8792,3660|Cauthleen,3660,1825,m,"Houston, George.",National tales,m,,1825,m,0
28018,5809|Louisxvi,5809,1870,m,"Baring-Gould, S. (Sabine),",In exitu Israel;,m,,1870,m,0
53364,nyp.33433074785373|Bumstead,nyp.33433074785373,1932,m,"Coolidge, Dane,","Sheriff killer, | $c: by Dane Coolidge ...",m,,1932,m,0
3948,2185|Antony,2185,1811,m,"Richardson, Samuel,",The history of Clarissa Harlowe,m,,1811,m,0
67993,mdp.39015003688325|LonnieFry,mdp.39015003688325,1970,m,"Good, Paul.",Once to every man.,m,,1970,m,0
49079,nyp.33433075768592|Mayen,nyp.33433075768592,1921,m,"Williamson, C. N. (Charles Norris),",The great pearl secret,m,,1921,m,0
56598,uc1.b3406921|Wolf,uc1.b3406921,1948,m,"Rush, William Marshall,",Gold prospector. | $c: Decorations by Arthur Harper.,m,,1948,m,0
76347,uc1.32106013034282|Tal,uc1.32106013034282,1990,m,"Greenland, Colin,",Take back plenty / | $c: Colin Greenland,m,,1990,m,0
45771,uva.x004506487|Edward,uva.x004506487,1915,m,"George, Walter Lionel,",The second blooming,m,,1915,m,0
49150,uc1.$b27410|Maguire,uc1.$b27410,1927,m,"Pattee, Fred Lewis,","Century readings in the American short story, | $c: edited and annotated by Fred Lewis Pattee ...",m,,1927,m,0
16727,10702|LordRavens,10702,1842,m,"Prest, Thomas Peckett.","The maniac father; or, The victim of seduction",m,,1842,m,0
57055,uc1.b4089005|Jesse,uc1.b4089005,1943,m,"Sinclair, Upton,",Wide is the gate | $c: [by] Upton Sinclair.,m,,1943,m,0
68397,mdp.49015000767526|MrConaire,mdp.49015000767526,1974,m,"Beckett, Samuel,",Mercier and Camier / | $c: Samuel Beckett ; translated from the original French by the author.,m,,1974,m,0
49747,uc2.ark+=13960=t8hd7qx3p|Talboyes,uc2.ark+=13960=t8hd7qx3p,1920,m,"Travers, Ben,",The Dippers,m,,1920,m,0
12705,2340|Jem,2340,1837,m,"Hook, Theodore Edward,",Jack Brag,m,,1837,m,0
2618,12836|Edgar,12836,1808,m,"St. John, Andrew.",Tales of former times,m,,1808,m,0
8174,4832|Henderson,4832,1829,m,"Sir, Scott, Walter,",The Waverley novels,m,,1829,m,0
49862,uc1.$b244575|Tony,uc1.$b244575,1929,m,"Raymond, Ernest,","A family that was, | $c: by Ernest Raymond.",m,,1929,m,0
33886,2182|Trajan,2182,1885,m,"Keenan, Henry F. (Henry Francis),",Trajan,m,,1885,m,0
72363,uc1.32106005224586|Mickey,uc1.32106005224586,1980,m,"Barnes, Julian.",Metroland / | $c: Julian Barnes.,m,,1980,m,0
