,docid,storyid,date,gender,author,title,authgender,nationality,firstpub,tags,birthdate
69798,mdp.39015007834560|Bartok,mdp.39015007834560,1970,m,"Fassett, Agatha.",Bela Bartók-- | the American years (formerly titled: The naked face of genius),f,,1970,m,0
8567,13241|Clifford,13241,1820,m,"Mrs. Hofland, (Barbara),",Tales of the Priory,f,,1820,m,0
68122,mdp.39015022214483|Buddy,mdp.39015022214483,1976,m,"Hearon, Shelby,",Now and another time / | $c: Shelby Hearon.,f,,1976,m,0
16270,11551|Mr.Norman,11551,1841,m,"Hockley, W. B. (William Browne),",The widow of Calcutta;,f,,1841,m,0
32592,13885|FredVincy,13885,1887,m,"Eliot, George,",George Eliot's complete works,f,,1887,m,0
53048,uc1.32106006287541|Josiah,uc1.32106006287541,1938,m,"Glasgow, Ellen Anderson Gholson,",Works.,f,,1938,m,0
61677,uc1.b3796956|Miranda,uc1.b3796956,1951,m,"Bagnold, Enid.",The loved and envied.,f,,1951,m,0
61183,inu.39000002097579|Joey,inu.39000002097579,1956,m,"Prichard, Katharine Susannah,",Coonardoo : | (The well in the shadow) / | $c: Katharine Susannah Prichard.,f,,1956,m,0
20412,11245|Mr.Glen,11245,1853,m,"Fern, Fanny,",Fern leaves from Fanny's port-folio,f,,1853,m,0
48258,uc2.ark+=13960=t3707xt5s|TheodoreBrane,uc2.ark+=13960=t3707xt5s,1920,m,"Burt, Katharine Newlin,",The red lady,f,,1920,m,0
2199,14|DonAlphonso,14,1807,m,"Roche, Regina Maria,","The discarded son; or, Haunt of the banditti",f,,1807,m,0
21323,14521|Tressel,14521,1852,m,"Wallace, Ellen.","Lena, or, The silent woman",f,,1852,m,0
53683,mdp.39015005768000|Francis,mdp.39015005768000,1939,m,"Thirkell, Angela,",The Brandons.,f,,1939,m,0
28643,12338|M.deEivonnière,12338,1871,m,"Sand, George,",Cesarine Dietrich,f,,1871,m,0
12666,1239|Andrew,1239,1839,m,"Sinclair, Catherine,",Holiday House,f,,1839,m,0
37004,14440|Mr.Hamilton,14440,1895,m,"Strain, E. H.",A man's foes,f,,1895,m,0
21090,7694|George,7694,1852,m,"Stowe, Harriet Beecher,","Uncle Tom's cabin, or, Life among the lowly",f,,1852,m,0
33764,13696|Mr.Rapham,13696,1888,m,"Betham-Edwards, Matilda,",The parting of the ways,f,,1888,m,0
52639,osu.32435005430061|EstebanValdez,osu.32435005430061,1930,m,"Cleugh, Sophia.","Song-Bird, | $c: by Sophia Cleugh.",f,,1930,m,0
52510,mdp.39015063946878|Joe,mdp.39015063946878,1931,m,"Prouty, Olive Higgins,","White fawn, | $c: by Olive Higgins Prouty.",f,,1931,m,0
13737,14100|LordHerbert,14100,1834,m,"(Caroline Lucy), Scott, Lady",Trevelyan,f,,1834,m,0
36942,13102|JohnAlden,13102,1891,m,"Austin, Jane G. (Jane Goodwin),",Betty Alden,f,,1891,m,0
37701,9775|George,9775,1897,m,"Davis, Rebecca Harding,",Frances Waldeaux,f,,1897,m,0
16396,14382|Hugh,14382,1840,m,"Wallace, Ellen.",The clandestine marriage,f,,1840,m,0
5588,13321|Cromwell,13321,1812,m,"(Jane), West, Mrs.",The loyalists,f,,1812,m,0
4703,7046|Constance,7046,1818,m,"Hatton, Ann Julia (Kemble)","Secrets in every mansion, or, The surgeon's memorandum-book",f,,1818,m,0
4466,6016|Paul,6016,1818,m,"Edgeworth, Maria,",Moral tales for young people,f,,1818,m,0
68818,mdp.39015054103141|Stan,mdp.39015054103141,1977,m,"Drabble, Margaret,",The ice age / | $c: Margaret Drabble.,f,,1977,m,0
32717,4977|Stevens,4977,1889,m,"Sergeant, Adeline,",Under false pretences;,f,,1889,m,0
45278,nyp.33433074824404|Blake,nyp.33433074824404,1916,m,"Bates, Sylvia Chatfield.",The geranium lady,f,,1916,m,0
69276,mdp.39015005329050|Cletus,mdp.39015005329050,1970,m,"West, Jessamyn.","Crimson ramblers of the world, farewell.",f,,1970,m,0
8770,14722|Latour,14722,1827,m,"(Charlotte Anne), Eaton, Charlotte A.",Vittoria Colonna,f,,1827,m,0
24549,7841|Cora,7841,1867,m,"Craik, Dinah Maria Mulock,",Domestic stories,f,,1867,m,0
5694,13776|Mr.Lindsay,13776,1818,m,"Davenport, Selina.",An angel's form and a devil's heart,f,,1818,m,0
61357,uc1.$b105017|Richard,uc1.$b105017,1953,m,"Rooke, Daphne,",Ratoons.,f,,1953,m,0
5435,14718|Ned,14718,1810,m,"Hatton, Ann Julia (Kemble)","Cambrian pictures, or, Every one has errors",f,,1810,m,0
76561,uc1.32106010740675|Vic,uc1.32106010740675,1992,m,"May, Julian.",Jack the bodiless : | a novel / | $c: by Julian May.,f,,1992,m,0
76602,mdp.39076002665979|Mr.Wingo,mdp.39076002665979,1993,m,"Campbell, Bebe Moore,",Your blues ain't like mine / | $c: Bebe Moore Campbell.,f,,1993,m,0
16346,10413|Thure,10413,1844,m,"Bremer, Fredrika,",The neighbours,f,,1844,m,0
44961,mdp.39015063512027|Dirks,mdp.39015063512027,1919,m,"Diver, Maud,",The strong hours,f,,1919,m,0
2534,14419|Chevalier,14419,1806,m,"(Agnes Maria), Bennett, Mrs.",Vicissitudes abroad;,f,,1806,m,0
4827,14868|DonEmanuel,14868,1810,m,"Palmer, Alicia Tindal.",The daughters of Isenberg: a Bavarian romance,f,,1810,m,0
41059,uc2.ark+=13960=t4xg9fs63|Marco,uc2.ark+=13960=t4xg9fs63,1900,m,"Turnbull, Francese Hubbard Litchfield, Mrs. Lawrence Turnbull,",The golden book of Venice;,f,,1900,m,0
77614,mdp.39015029475368|Georges,mdp.39015029475368,1993,m,"Mantel, Hilary,",A place of greater safety / | $c: Hilary Mantel.,f,,1993,m,0
77629,mdp.39015021634640|George,mdp.39015021634640,1991,m,"Atwood, Margaret,",Wilderness tips / | $c: Margaret Atwood.,f,,1991,m,0
45610,nyp.33433074800321|Harry,nyp.33433074800321,1918,m,"Barr, Amelia Edith Huddleston,",The paper cap,f,,1918,m,0
57838,pst.000001977257|WangLung,pst.000001977257,1944,m,"Buck, Pearl S. (Pearl Sydenstricker),",The good earth by Pearl S. Buck / | $c: with a forward by the author.,f,,1944,m,0
72761,mdp.39015008969936|Hank,mdp.39015008969936,1981,m,"Comyns, Barbara,",The vet's daughter / | $c: Barbara Comyns ; with a new introduction by the author.,f,,1981,m,0
3928,13672|Fitzwalter,13672,1818,m,"(Sydney), Morgan, Lady",Florence Macarthy,f,,1818,m,0
36219,6757|Ephraim,6757,1899,m,"Pool, Maria Louise,",A widower & some spinsters;,f,,1899,m,0
33506,7649|Gerald,7649,1885,m,"Duchess,",Doris,f,,1885,m,0
24002,14002|Mr.Turner,14002,1864,m,"Neil, Ross,","Abbot's Cleve, or, Can it be proved?",f,,1864,m,0
69290,mdp.39015000683329|Rogers,mdp.39015000683329,1972,m,"(Dorothy Leigh), Sayers, Dorothy L.",Lord Peter; | a collection of all the Lord Peter Wimsey stories. | $c: Compiled and with an introd. by James Sandoe. Coda by Carolyn Heilbrun. Codetta by E. C. Bentley.,f,,1972,m,0
12901,107|Sewell,107,1833,m,"Martineau, Harriet,",Poor laws and paupers illustrated,f,,1833,m,0
32708,1951|Eliab,1951,1886,m,"Cooke, Rose Terry,",The sphinx's children and other people's,f,,1886,m,0
72677,uc1.32106013896318|Reynaud,uc1.32106013896318,1982,m,"Steel, Danielle.",Crossings / | $c: Danielle Steel.,f,,1982,m,0
33749,6265|Bazilio,6265,1889,m,"Queirós, Eça de,",Dragon's teeth;,f,,1889,m,0
65753,uc1.$b404145|Charley,uc1.$b404145,1969,m,"Davis, Gwen.",The pretenders; | a novel.,f,,1969,m,0
2536,14778|Dr.Campbell,14778,1809,m,"Meeke, Mary,",Langhton Priory,f,,1809,m,0
36446,578|Bill,578,1896,m,"Pratt, Ada A. M.,","Widow Jones' monopoly, and other stories",f,,1896,m,0
4322,437|Norman,437,1815,m,"Mrs. Bray, (Anna Eliza),",The novels and romances of Anna Eliza Bray,f,,1815,m,0
53234,osu.32435056670136|Mr.Whitney,osu.32435056670136,1931,m,"Hill, Grace Livingston,",Silver wings / | $c: Grace Livingston Hill.,f,,1931,m,0
12405,13901|FredericVernon,13901,1832,m,"Moore, Charlotte Trimmer.",Country houses,f,,1832,m,0
5737,431|Morgan,431,1815,m,"Mrs. Bray, (Anna Eliza),",The novels and romances of Anna Eliza Bray,f,,1815,m,0
4893,8467|Earl,8467,1816,m,"Thomas, Elizabeth.",Monte Video ;,f,,1816,m,0
36080,26|FatherMateodelBusto,26,1899,m,"Pérez Galdós, Benito,",Saragossa;,f,,1899,m,0
72197,mdp.39015010749110|Joe,mdp.39015010749110,1983,m,"Hospital, Janette Turner,",The tiger in the tiger pit / | $c: Janette Turner Hospital.,f,,1983,m,0
4399,13739|Jack,13739,1814,m,"Hervey, Elizabeth",Amabel;,f,,1814,m,0
13635,13901|LordHoniton,13901,1832,m,"Moore, Charlotte Trimmer.",Country houses,f,,1832,m,0
9341,14819|William,14819,1822,m,"Mrs. Hofland, (Barbara),",Tales of the manor,f,,1822,m,0
13191,13813|Mr.Sibthorp,13813,1836,m,"Pickering, Ellen,",The merchant's daughter,f,,1836,m,0
37584,3606|Edward*,3606,1895,m,"Grahame, Kenneth,",The golden age,f,,1895,m,0
56733,wu.89100298520|Dicky,wu.89100298520,1941,m,"MacDonald, Jessica North,",Morning in the land / | $c: by Jessica Nelson North.,f,,1941,m,0
4751,14886|Richard,14886,1813,m,"Cuthbertson, Catherine.",Adelaide,f,,1813,m,0
57662,inu.30000055891687|Jimson,inu.30000055891687,1941,m,"Cary, Joyce,",Herself surprised / | $c: Joyce Cary.,f,,1941,m,0
12234,9917|Mr.Barclay,9917,1832,m,"Edgeworth, Maria,",Tales and novels,f,,1832,m,0
24712,7647|Mr.Peters,7647,1865,m,"Farnham, Eliza Woodson Burhans,",The ideal attained;,f,,1865,m,0
20957,4030|Tracy,4030,1852,m,"Stewart, E. M.",Lillias Davenant,f,,1852,m,0
13767,3275|Hester,3275,1839,m,"Martineau, Harriet,",Deerbrook,f,,1839,m,0
13783,13164|Walter,13164,1836,m,"Howitt, Mary Botham,",Wood Leighton;,f,,1836,m,0
25160,5284|Clarence,5284,1864,m,"Denison, Mary A. (Mary Andrews),",Out of prison,f,,1864,m,0
32651,4879|Carl,4879,1882,m,"Aikin, Lucy,",Robinson Crusoe in words of one syllable,f,,1882,m,0
13012,2927|Mr.Herbert,2927,1830,m,"Mackenzie, Mary Jane.",Private life,f,,1830,m,0
24543,4266|LordFitzJohn,4266,1867,m,"Neil, Ross,",Raymond's heroine,f,,1867,m,0
69091,uc1.32106007165019|Jonathan,uc1.32106007165019,1970,m,"Le Sueur, Meridel.",Corn village ; | a selection.,f,,1970,m,0
4598,12041|Philip,12041,1813,m,"Smith, Julia Bernard.",The old school,f,,1813,m,0
9773,14969|Ernest,14969,1829,m,"(Jane), Loudon, Mrs.",Stories of a bride;,f,,1829,m,0
13603,10256|John,10256,1835,m,"Edgeworth, Maria,",Tales and novels,f,,1835,m,0
77869,pst.000032464733|Simion,pst.000032464733,1996,m,"Argiri, Laura,",The god in flight / | $c: Laura Argiri.,f,,1996,m,0
33227,7392|Dietrich,7392,1889,m,,Echoes from mist-land;,f,,1889,m,0
36401,2604|Poindexter,2604,1895,m,"Mrs., Graham, Margaret (Collier)",Stories of the foot-hills,f,,1895,m,0
60797,uc1.32106012616667|Mr.Phillipson,uc1.32106012616667,1958,m,"Allingham, Margery,",Hide my eyes.,f,,1958,m,0
9096,11136|Brian,11136,1829,m,"Mrs., Hall, S. C.,",Sketches of Irish character,f,,1829,m,0
33515,5669|JamesWillis,5669,1884,m,"Oberholtzer, Sara Louisa,",Hope's heart bells,f,,1884,m,0
21537,986|Mr.Humphreys,986,1852,m,"Warner, Susan,","The wide, wide world",f,,1852,m,0
13844,13641|Julian,13641,1839,m,"Grey, Elizabeth Caroline.",The duke,f,,1839,m,0
5092,11396|Jerome,11396,1810,m,"Roche, Regina Maria,","The houses of Osma and Almeria; or, Convent of St. Ildefonso. A tale",f,,1810,m,0
25790,5169|Tomlin*,5169,1867,m,"Peck, Ellen.",Renshawe,f,,1867,m,0
60207,uc1.b3346948|Marsh,uc1.b3346948,1955,m,"Vining, Elizabeth Gray,",The Virginia exiles.,f,,1955,m,0
24203,6952|JackAllen,6952,1864,m,"Ford, Sallie Rochester,",Raids and romance of Morgan and his men,f,,1864,m,0
64350,uc1.$b81765|FredHarborough,uc1.$b81765,1965,m,"Moyes, Patricia.","Murder by 3's; | including Dead men don't ski, Down among the dead men, and Falling star. | $c: With an introd. by Anthony Boucher.",f,,1965,m,0
56328,uc1.$b101574|J.L.,uc1.$b101574,1948,m,"Drake, Margaret Evelyn.",Chrysantha.,f,,1948,m,0
60482,mdp.39015002710724|Bob,mdp.39015002710724,1956,m,"Prichard, Katharine Susannah,",Working bullocks.,f,,1956,m,0
24167,13226|Mr.Mountain,13226,1865,m,"(Elizabeth Lynn), Linton, E. Lynn",Grasp your nettle,f,,1865,m,0
57824,uc1.$b57088|John,uc1.$b57088,1944,m,"Mudgett, Helen (Parker)","The seas stand watch, | $c: by Helen Parker Mudgett.",f,,1944,m,0
4713,14004|Gregor,14004,1818,m,"Stevens, Grace Buchanan.","Llewellen, or, The vale of Phlinlimmon",f,,1818,m,0
52019,uc1.b4091245|Jasper,uc1.b4091245,1937,m,"Woolf, Virginia,","To the lighthouse, | $c: by Virginia Woolf; with an introduction by Terence Holliday.",f,,1937,m,0
28957,12454|Mr.Simpson,12454,1875,m,"Linton, E. Lynn (Elizabeth Lynn),",Patricia Kemball,f,,1875,m,0
5477,435|Charles,435,1815,m,"Mrs. Bray, (Anna Eliza),",The novels and romances of Anna Eliza Bray,f,,1815,m,0
19989,9811|Carlo,9811,1851,m,"(Emily Clemens), Pearson, Emily C.","Jamie Parker, the fugitive",f,,1851,m,0
13707,9917|LordOldborough,9917,1832,m,"Edgeworth, Maria,",Tales and novels,f,,1832,m,0
24121,12284|David,12284,1869,m,"Peerless, Anna A. Pratt.",Little Freddie feeding his soul,f,,1869,m,0
4358,9023|Henry,9023,1815,m,"Prickett, Miss.",Warwick Castle,f,,1815,m,0
13562,8173|DonManuel,8173,1835,m,"Mrs. Kentish,",The maid of the village,f,,1835,m,0
40590,wu.89098866049|Solomon,wu.89098866049,1900,m,"Atherton, Gertrude Franklin Horn,",Patience Sparhawk and her times,f,,1900,m,0
44216,uc2.ark+=13960=t76t0hr4v|Hector,uc2.ark+=13960=t76t0hr4v,1914,m,"Hyde, Mary Ellen Burke,",The sins of the fathers,f,,1914,m,0
40740,nyp.33433075762991|JohnDesinski,nyp.33433075762991,1903,m,"Thurston, Katherine Cecil,",The circle,f,,1903,m,0
41284,uc2.ark+=13960=t13n20m0c|Dick,uc2.ark+=13960=t13n20m0c,1907,m,"[Obenchain, Eliza Caroline Calvert, Mrs.]",Aunt Jane of Kentucky,f,,1907,m,0
49244,uc2.ark+=13960=t55d8t799|Reggie,uc2.ark+=13960=t55d8t799,1922,m,"Mansfield, Katherine,",The garden party,f,,1922,m,0
51964,uc1.$b74561|HerrWeber,uc1.$b74561,1939,m,"Feiner, Ruth.","Yesterday's dreams, | $c: by Ruth Feiner; the story of two families; translated from the German by Norman Alexander.",f,,1939,m,0
33732,12514|Mr.Copley,12514,1880,m,"Warner, Susan,",The end of a coil,f,,1880,m,0
21265,14871|Mr.Charteris,14871,1853,m,"(Margaret), Oliphant, Mrs.",Harry Muir,f,,1853,m,0
37917,11431|Donovan,11431,1890,m,"Bayly, Ada Ellen,",Donovan,f,,1890,m,0
