,docid,storyid,date,gender,author,title,authgender,nationality,firstpub,tags,birthdate
45912,mdp.39015001664369|Edwin,mdp.39015001664369,1910,m,"Bennett, Arnold,",Clayhanger,m,,1910,m,0
44703,uc1.32106002106513|Gabe,uc1.32106002106513,1912,m,"Ferber, Edna,",Buttered side down;,f,,1912,m,0
49527,uc1.$b787419|Reilly,uc1.$b787419,1929,m,"O'Flaherty, Liam,","Return of the brute, | $c: by Liam O'Flaherty.",m,,1929,m,0
41310,uc2.ark+=13960=t6k06xf2z|Jack,uc2.ark+=13960=t6k06xf2z,1908,m,"Lorimer, George Horace,",Jack Spurlock--prodigal,m,,1908,m,0
48680,uc1.b4378463|Michael,uc1.b4378463,1922,m,"Davidson, Gladys.",Stories from the Russian operas,f,,1922,m,0
48484,uc1.b4093279|John,uc1.b4093279,1925,m,"Glasgow, Ellen Anderson Gholson,",Barren ground / | $c: by Ellen Glasgow.,f,,1925,m,0
48056,nyp.33433074920665|Mr.Hellaby,nyp.33433074920665,1921,m,"Ayres, Ruby M. (Ruby Mildred),",The scar,f,,1921,m,0
56121,mdp.39015002251737|Pedro,mdp.39015002251737,1941,m,"Alegría, Ciro,","Broad and alien is the world, | $c: by Ciro Alegría, translated from the Spanish by Harriet de Onís.",u,,1941,m,0
56252,uc1.$b117317|John,uc1.$b117317,1948,m,"Silliman, Leland,",The daredevil; | $c: illus. by Harold Minton.,m,,1948,m,0
40885,uc2.ark+=13960=t55d8s45m|BillHenry,uc2.ark+=13960=t55d8s45m,1904,m,"Parker, Frances.",Hope Hathaway,f,,1904,m,0
49724,uc1.$b312622|Barlow,uc1.$b312622,1929,m,"Swinnerton, Frank,","The merry heart, | a gentle melodrama.",m,,1929,m,0
45798,nyp.33433076091036|Forbes,nyp.33433076091036,1917,m,"Gordon, Irwin Leslie,",What Allah wills,m,,1917,m,0
