,docid,storyid,date,gender,author,title,authgender,nationality,firstpub,tags,birthdate
24699,9464|Jacques,9464,1865,m,"Montgomery, Fanny Charlotte Wyndham, Hon.,",The Bucklyn Shaig,f,,1865,m,0
37510,2478|Arthur,2478,1898,m,"Holmes, Clara H.",Floating fancies among the weird and the occult,f,,1898,m,0
37550,14029|Owen,14029,1894,m,"Marks, Mary A. M.",Thorough,f,,1894,m,0
36636,7245|Sulaiman,7245,1897,m,"Jókai, Mór,",The Lion of Janina;,m,,1897,m,0
25321,9629|Walter,9629,1865,m,"Homes, Mary Jane Hawes, Mrs.,",The homestead on the Hillside,f,,1865,m,0
36933,5982|JacobHartrich,5982,1898,m,"Farjeon, B. L.",The house of white shadows,m,,1898,m,0
32511,328|Bob,328,1885,m,,Old 'Miscellany  days,m,,1885,m,0
37193,4390|DonFernando,4390,1893,m,"Cervantes Saavedra, Miguel de,",The ingenious gentleman Don Quixote of La Mancha,m,,1893,m,0
25444,3048|Sinclair,3048,1865,m,"Ritner, W. D. (William D.)","Juan, the white slave;",u,,1865,m,0
33445,5435|Rupert,5435,1889,m,"Harte, Bret,",Cressy,m,,1889,m,0
29255,7087|James,7087,1877,m,"Sewell, Anna,",Black Beauty,f,,1877,m,0
36996,3163|Barras,3163,1894,m,"Dumas, Alexandre,",The company of Jehu,m,,1894,m,0
29578,452|Mr.Aspar,452,1873,m,"McCarthy, Justin,",A fair saxon;,m,,1873,m,0
32675,85|Maia,85,1882,m,"Ouida,",In Maremma,f,,1882,m,0
25424,4113|Theodore,4113,1867,m,"Corbin, Caroline Fairfield,",A woman's secret,f,,1867,m,0
33880,10643|Cosmo,10643,1881,m,"MacDonald, George,",Warlock O'Glenwarlock;,m,,1881,m,0
29161,5951|Tom,5951,1876,m,,Footprints left on life's journey,u,,1876,m,0
28896,378|Mr.Bertram,378,1877,m,"Conklin, Carrie.",Lady Leonora;,f,,1877,m,0
25113,6599|JohnCrass,6599,1867,m,"Lemon, Mark,","Leyton Hall, and other tales",m,,1867,m,0
37486,3460|Caleb,3460,1892,m,"Dickens, Charles,",The mystery of Edwin Drood,m,,1892,m,0
25837,12671|Gerald,12671,1864,m,"Mrs. Gardner, H. C.,",Rosedale,f,,1864,m,0
37227,11214|Jack,11214,1896,m,"Hope, Anthony,",Frivolous Cupid,m,,1896,m,0
24377,3201|IsaacSamuel,3201,1867,m,"Dorsey, Sarah A. (Sarah Anne),",Lucia Dare;,f,,1867,m,0
24066,14442|Mr.Jump,14442,1867,m,"Wigram, W. Knox",Five hundred pounds reward,m,,1867,m,0
27994,1387|Tindall,1387,1877,m,"Ouida,",Chandos,f,,1877,m,0
29392,11303|CountSchonstein,11303,1877,m,"Black, William,",In silk attire,m,,1877,m,0
32833,9190|Cooper,9190,1885,m,"Sims, J. Marion (James Marion),",The story of my life,m,,1885,m,0
28188,11800|Wilson,11800,1877,m,"Montgomery, Florence,",Thrown together,f,,1877,m,0
21466,12523|Josiah,12523,1854,m,"Hamley, Edward Bruce,",Lady Lee's widowhood,m,,1854,m,0
37121,3015|Reuben,3015,1894,m,"Baldwin, Alfred, Mrs.",Richard Dare,f,,1894,m,0
36697,7435|Mr.Badger,7435,1898,m,"Dickens, Charles,",The works of Charles Dickens,m,,1898,m,0
28174,8305|BillJones,8305,1871,m,"Eggleston, Edward,",The Hoosier school-master,m,,1871,m,0
29337,11051|M.deJourdy,11051,1874,m,"Berthoud, Eugène,","She loved him madly: or,  Le beau Roland.",m,,1874,m,0
33513,14637|Nigel,14637,1881,m,"Earl of Beaconsfield, Disraeli, Benjamin,",Novels and tales by the Earl of Beaconsfield,m,,1881,m,0
24609,2272|Charles,2272,1866,m,,Cotton stealing,f,,1866,m,0
20716,12698|Charles,12698,1856,m,"Ingoldsby, Thomas,",Cousin Nicholas,m,,1856,m,0
29595,2617|Joshua,2617,1879,m,"Besant, Walter,",'Twas in Trafalgar's bay,m,,1879,m,0
36166,419|Mr.Ashlock,419,1897,m,"Mason, A. E. W. (Alfred Edward Woodley),",Lawrence Clavering,m,,1897,m,0
25911,11997|Harry,11997,1868,m,"Thackeray, William Makepeace,",The Virginians,m,,1868,m,0
32645,13836|Prince,13836,1884,m,"Black, William,",Judith Shakespeare;,m,,1884,m,0
36719,9309|Phil,9309,1898,m,"Shaw, Bernard,",Plays: pleasant and unpleasant,m,,1898,m,0
20403,5705|Poe,5705,1855,m,"Nichols, Mary Sargeant Gove,",Mary Lyndon ;,f,,1855,m,0
33365,3758|Franz,3758,1882,m,"Spofford, Ainsworth Rand,",The library of choice literature;,m,,1882,m,0
28692,12096|LeBalafre,12096,1876,m,"Cooper, James Fenimore,",[The works of J. Fenimore Cooper],m,,1876,m,0
28513,1178|Peter,1178,1872,m,"Hoyt, Jehiel Keeler,",The romance of the table,u,,1872,m,0
20462,5210|Mr.Mordaunt,5210,1859,m,"Cooper, James Fenimore,",Cooper's novels,m,,1859,m,0
25550,3240|Christopher,3240,1860,m,"Mrs. Sherwood, (Mary Martha),",The Lady of the manor,f,,1860,m,0
28125,8507|Liggins,8507,1878,m,"Eliot, George,",The works of George Eliot,f,,1878,m,0
37463,2214|M.deDhun,2214,1891,m,"Rabusson, Henry,",Madame d'Orgevaut's husband,m,,1891,m,0
25744,8529|Blake,8529,1862,m,"Dalton, William,",Phaulcon the adventurer ; or The Europeans in the East,m,,1862,m,0
29553,11914|Dr.Lovell,11914,1878,m,"Higham, Mary R.",The other house,f,,1878,m,0
24834,403|Arthur,403,1865,m,"Pardon, George Frederick,",Tales from the operas,m,,1865,m,0
29323,1389|Philip,1389,1877,m,"Ouida,",Cecil Castlemaine's gage,f,,1877,m,0
37815,13812|Norman,13812,1893,m,"Dickens, Mary Angela.",A mere cypher,f,,1893,m,0
37456,9215|Mr.Norbery,9215,1890,m,"Sir, Besant, Walter,",The bell of St. Paul's,m,,1890,m,0
20104,11313|George,11313,1852,m,"Hood, Thomas,",Prose and verse,m,,1852,m,0
29247,6193|Jack,6193,1879,m,"Harte, Bret,",An heiress of Red Dog,m,,1879,m,0
25829,3564|George,3564,1864,m,"Cummins, Maria S. (Maria Susanna),",Haunted hearts,f,,1864,m,0
33289,13994|Jack,13994,1886,m,"Besant, Walter, Sir,",Children of Gibeon,m,,1886,m,0
23949,3311|Cressy,3311,1868,m,"Baroness, Tautphoeus, Jemima Montgomery,",The initials,f,,1868,m,0
36279,1093|Napoleon,1093,1896,m,"(Elmer Boyd), Smith, E. Boyd",My village,m,,1896,m,0
37001,10638|Santi,10638,1894,m,"Straparola, Giovanni Francesco,",The Nights of Straparola,m,,1894,m,0
36406,4640|Hartopp,4640,1899,m,"Kipling, Rudyard,",Stalky & co,m,,1899,m,0
21292,11577|Richard,11577,1857,m,"Wilson, John Mackay,",Wilson's tales of the borders and of Scotland,m,,1857,m,0
32677,1105|Mr.Red,1105,1884,m,"Holmes, Mary Jane,",Christmas stories,f,,1884,m,0
33634,13589|Mr.Loseby,13589,1882,m,"(Margaret), Oliphant, Mrs.",In trust;,f,,1882,m,0
29150,4109|Earl,4109,1877,m,"Courtney, Lydia L. D.",Pauline's trial,f,,1877,m,0
37410,1075|Adam,1075,1896,m,"Balzac, Honoré de,",La grande Bretèche and other stories,f,,1896,m,0
32161,11858|JohnBlivens,11858,1889,m,"Hawthorne, Julian,",Millicent and Rosalind,m,,1889,m,0
29101,4578|CountRivero,4578,1875,m,"Samarow, Gregor,",For sceptre and crown,m,,1875,m,0
33224,4598|Harry,4598,1884,m,"Smith, Adah E.",Kathie's peculiar views,f,,1884,m,0
32903,6432|JohnJames,6432,1883,m,"Thackeray, William Makepeace,",Works,m,,1883,m,0
32987,8641|Marquis,8641,1885,m,"Duchess,",Doris,f,,1885,m,0
37189,1925|SantIlario,1925,1892,m,"Crawford, F. Marion (Francis Marion),",Don Orsino,m,,1892,m,0
24176,14508|MasterJarge,14508,1864,m,"Braddon, M. E. (Mary Elizabeth),",The doctor's wife,f,,1864,m,0
29620,14927|Runga,14927,1878,m,"Taylor, Meadows,",A noble queen,m,,1878,m,0
29622,8125|SolomonFewster,8125,1872,m,"Farjeon, B. L. (Benjamin Leopold),",Joshua Marvel,m,,1872,m,0
33757,3272|Hugh,3272,1887,m,"Mulholland, Clara.",Percy's revenge,f,,1887,m,0
33755,10467|Gerty,10467,1885,m,"Gray, Louisa M.",Ada and Gerty; or Hand in Hand heavenward,f,,1885,m,0
33918,14400|Donovan,14400,1882,m,"Lyall, Edna,",Donovan,f,,1882,m,0
32601,5171|Smith,5171,1883,m,"Cooper, Jennie.",Those Orphans,f,,1883,m,0
32756,5512|Thomas,5512,1883,m,"Richardson, Samuel,",The works of Samuel Richardson,m,,1883,m,0
32473,12046|HerbertCaruthers,12046,1883,m,"Benedict, Frank Lee,",The price she paid,m,,1883,m,0
32676,9676|OwenTravers,9676,1887,m,"Dorsey, Anna Hanson,",The heiress of Carrigmona,f,,1887,m,0
29642,12277|Mr.Glynn,12277,1877,m,"Hamilton, Gail,",First love is best,f,,1877,m,0
25748,9464|LordClifford,9464,1865,m,"Montgomery, Fanny Charlotte Wyndham, Hon.,",The Bucklyn Shaig,f,,1865,m,0
24372,1509|Mr.Darling,1509,1867,m,"Optic, Oliver,",The way of the world,m,,1867,m,0
32106,11970|Carlos,11970,1882,m,"Barnard, Edna A. (Edna Anna),",Maple range,f,,1882,m,0
28147,13545|TomCribb,13545,1878,m,"Barker, Bernard.",Eliot the younger;,m,,1878,m,0
36818,6411|Anthony,6411,1890,m,"Baron, Lytton, Edward Bulwer Lytton,",[Novels],m,,1890,m,0
36937,8787|Gonzalo,8787,1896,m,"Gunter, Archibald Clavering,",Her senator,m,,1896,m,0
25218,13408|Mr.Colchester,13408,1865,m,"(Henry James), Byron, Henry J.",Paid in full,m,,1865,m,0
29389,1389|Bertie,1389,1877,m,"Ouida,",Cecil Castlemaine's gage,f,,1877,m,0
24456,13729|RichardParker,13729,1862,m,"Church, Mrs., | A. B.",Measure for measure,f,,1862,m,0
32955,10218|Paul,10218,1888,m,"Schlötel, A. E.",Who is Vera?,f,,1888,m,0
37770,5965|Andree,5965,1890,m,"Dumas, Alexandre,",Memoirs of a physician,m,,1890,m,0
29030,8821|Stephen,8821,1876,m,"Brown, Oliver Madox-,",The Dwale bluth,m,,1876,m,0
32799,12122|Solomon,12122,1888,m,"Allen, Willis Boyd,",Kelp,m,,1888,m,0
29383,13167|Steenie,13167,1872,m,"Phillpotts, Mary Charlotte.",Janet's choice,f,,1872,m,0
29141,13546|FatherColeman,13546,1871,m,"Earl of Beaconsfield, Disraeli, Benjamin,",Collected edition of the novels and tales,m,,1871,m,0
29830,12086|Angus,12086,1871,m,"Gibbon, Charles,",For lack of gold,m,,1871,m,0
33531,7222|George,7222,1886,m,"Strong, Grace,",The worst foe,f,,1886,m,0
37035,6242|William,6242,1898,m,"(Mary Breck) Sleight, Mary B.",An island heroine;,f,,1898,m,0
28166,5449|Edwards,5449,1875,m,"Dall, Caroline Wells Healey,",The romance of the Association;,f,,1875,m,0
33009,3798|Mr.North,3798,1885,m,"Carlyle, Thomas,",[Works],m,,1885,m,0
32760,70|DickAllan,70,1880,m,"Mrs., Bryan, Mary Edwards,",Manch,f,,1880,m,0
28616,13637|FredStephenson,13637,1879,m,"Marryat, Florence,",A broken blossom,f,,1879,m,0
32099,9633|Mr.Spooner,9633,1881,m,"Trollope, Anthony,",The duke's children,m,,1881,m,0
36285,12831|DrHoraceSelby,12831,1894,m,"Sir, Doyle, Arthur Conan,",Round the red lamp;,m,,1894,m,0
28866,8156|Jesus,8156,1879,m,"Stretton, Hesba,",Through a needle's eye,m,,1879,m,0
37652,9367|Drake,9367,1899,m,"Barnes, James,",Drake and his yeomen;,m,,1899,m,0
20197,13342|Vincent,13342,1858,m,"Mrs. Newby, C. J.,",Margaret Hamilton;,f,,1858,m,0
28064,6223|SquireElliott,6223,1874,m,"Moulton, Louise Chandler",Some women's hearts,f,,1874,m,0
21037,2154|AllanBirch,2154,1855,m,"Trowbridge, J. T. (John Townsend),",Ironthorpe,m,,1855,m,0
24435,14110|Ivan,14110,1865,m,"Edwards, Amelia Ann Blanford,",Miss Carew,f,,1865,m,0
28065,6338|God,6338,1879,m,"Holmes, Mary Jane,",Forrest house,f,,1879,m,0
32267,298|Fowler,298,1884,m,"Forbes, Urquhart Atwell,",Otterstone Hall,m,,1884,m,0
32563,4686|Lowrie,4686,1889,m,"Marsh, Charles Leonard.",Opening the oyster,m,,1889,m,0
32484,4883|Mr.Pericles,4883,1889,m,"Meredith, George,",Vittoria,m,,1889,m,0
28278,12279|PiazzadelPopolo,12279,1876,m,"Miller, Joaquin,",The one fair woman,m,,1876,m,0
24116,10303|Turner,10303,1865,m,"Leslie, Madeline,","The two homes, or, Earning and spending",f,,1865,m,0
28664,10094|WesleyGreen,10094,1874,m,"Arthur, T. S. (Timothy Shay),",Woman to the rescue,m,,1874,m,0
23981,1034|Dr.Antony,1034,1867,m,"Charles, Elizabeth Rundle,",On both sides of the sea,f,,1867,m,0
32488,694|Mayer,694,1889,m,"Yonge, Charlotte M. (Charlotte Mary),",Love and life;,f,,1889,m,0
28277,12196|Marston,12196,1877,m,"pseud. Fidelity,","Fighting the foe; or, Every day battles",u,,1877,m,0
29298,3997|Houseman,3997,1870,m,"Reade, Charles,","Griffith Gaunt, or, Jealousy",m,,1870,m,0
37417,5859|RoseRooney,5859,1899,m,"Thompson, Helen Stuart.",Windy Creek,f,,1899,m,0
21878,11789|Frederick,11789,1857,m,"Reynolds, George W. M. (George William MacArthur),",The Empress Eugenie's boudoir,m,,1857,m,0
32946,5794|Cobbington,5794,1881,m,"Optic, Oliver,",Down South;,m,,1881,m,0
33092,2013|Eppelein*,2013,1880,m,"Ebers, Georg,",The historical romances of Georg Ebers,f,,1880,m,0
20359,14260|Mr.Quale,14260,1852,m,"Dickens, Charles,",Bleak house,m,,1852,m,0
21803,3524|Gerald,3524,1856,m,"Maitland, James A.",The wanderer,m,,1856,m,0
32323,7125|Jesus,7125,1881,m,"MacDonald, George,",Mary Marston,m,,1881,m,0
33277,15040|Severus,15040,1888,m,"Richardson, Benjamin Ward, Sir,",The son of a star,m,,1888,m,0
29227,4700|Randolph,4700,1879,m,"May, Thomas P.",The earl of Mayfield,m,,1879,m,0
24256,13189|MrKamsay,13189,1865,m,"Stirling, Fanny,",Sedgely Court,f,,1865,m,0
33447,11178|Timothy,11178,1888,m,"(Benjamin Leopold), Farjeon, B. L.",Toilers of Babylon,m,,1888,m,0
28079,852|Dubois,852,1871,m,"Irving, Washington,",Wolfert's Roost,m,,1871,m,0
24274,4474|Jackson,4474,1862,m,,"The Canterbury bells; or, Scenes in the Belmont family",u,,1862,m,0
21004,7394|Mr.Freeman,7394,1852,m,"Lothrop, Amy.",Dollars and cents,f,,1852,m,0
36668,108|Napoleon,108,1892,m,"King, Grace Elizabeth,",Tales of a time and place,f,,1892,m,0
19942,13817|DuncanRoy,13817,1851,m,"(Margaret), Oliphant, Mrs.",Merkland,f,,1851,m,0
33012,11873|Nelly,11873,1884,m,"(George Alfred), Henty, G. A.",True to the old flag,m,,1884,m,0
29691,387|Martin,387,1870,m,"Smith, J. F. (John Frederick),","Harry Ashton; or, The will and the way",m,,1870,m,0
32210,11129|PeterCooper,11129,1886,m,"(Osgood Eaton), Fuller, Osgood E.",Brave men and women,m,,1886,m,0
36687,12473|Dering,12473,1892,m,"Rives, Amélie,",Barbara Dering,u,,1892,m,0
29415,14421|Willie,14421,1876,m,"Wynne, Catherine Simpson.",A horrid girl,f,,1876,m,0
25065,12453|Marquis,12453,1864,m,"Reynolds, George W. M. (George William MacArthur),",Pickwick abroad,m,,1864,m,0
33322,5280|Mr.Byrne,5280,1882,m,"Mrs., Alexander,",The Freres;,f,,1882,m,0
21438,1294|Dunmore,1294,1850,m,"Kilbourn, Diana Treat.",The lone Dove,f,,1850,m,0
37188,3344|Khalifa,3344,1897,m,"Le Queux, William,",The eye of Istar;,m,,1897,m,0
33077,14494|Aaron,14494,1886,m,"Eliot, George,",The works of George Eliot,f,,1886,m,0
36040,5275|Jack,5275,1893,m,,Stories of the sea,f,,1893,m,0
25347,3060|JohnGuilderstring,3060,1864,m,"Richards, C. French.",John Guilderstring's sin,m,,1864,m,0
24052,11472|Mr.Smallsole,11472,1860,m,"Marryat, Frederick,",Mr. Midshipman Easy,m,,1860,m,0
36638,7487|Hamed,7487,1890,m,"Kingston, William Henry Giles,",Saved from the sea;,m,,1890,m,0
20988,961|Patrick,961,1859,m,"Swift, Jonathan,",Works,m,,1859,m,0
24615,662|Mr.Stapfurrow,662,1866,m,"Mills, George,","The beggar's benison, or, A hero, without a name, but, with an aim",m,,1866,m,0
25060,14988|Mr.Ray,14988,1868,m,"Marryat, Florence,",Nelly Brooke,f,,1868,m,0
33321,13803|WalterEarl,13803,1886,m,"Needell, Mary Anna Lupton,",The story of Philip Methuen,f,,1886,m,0
20055,11173|Jimmy,11173,1859,m,"Hamel, Felix John.","Harry Roughton, or, Reminiscences of a revenue officer",m,,1859,m,0
29136,5951|George,5951,1876,m,,Footprints left on life's journey,u,,1876,m,0
32865,2825|Carlo,2825,1882,m,"Mrs., Molesworth,",'Grandmother dear';,f,,1882,m,0
21254,455|Paul,455,1857,m,"Collins, Wilkie,",The dead secret,m,,1857,m,0
28232,9636|StephenGriffiths,9636,1875,m,"Noel, Augusta, Lady,",Owen Gwynne's great work,f,,1875,m,0
29308,11163|ThomasPaine,11163,1876,m,"Lippard, George,",The legends of the American revolution  1776.,m,,1876,m,0
21397,10542|Galileo,10542,1856,m,,The forget-me-not,m,,1856,m,0
28348,14733|JackStraw,14733,1874,m,"Ainsworth, William Harrison,",Merry England,m,,1874,m,0
25442,80|Blanchard,80,1868,m,"Davis, Rebecca Harding,",Waiting for the verdict,f,,1868,m,0
36591,15036|Fortier,15036,1894,m,"Dumas, Alexandre,",La Comtesse de Charny,m,,1894,m,0
28801,14884|GeorgeGurwood,14884,1872,m,"Yates, Edmund Hodgson,",The yellow flag,m,,1872,m,0
33089,14965|Mr.Thomas,14965,1883,m,"Murray, David Christie,",Hearts,m,,1883,m,0
33403,8893|Fred,8893,1886,m,"Fenn, George Manville,",The master of the ceremonies,m,,1886,m,0
25622,3245|MrMarten,3245,1869,m,"Mayo, Isabella Fyvie,",The occupations of a retired lfe,f,,1869,m,0
20595,5081|Mr.Pump,5081,1855,m,"(John Stowell), Adams, John S.","Town and country, or, life at home and abroad, without and within us",u,,1855,m,0
21918,14169|Mr.Owen,14169,1855,m,"Kavanagh, Julia,",Grace Lee,f,,1855,m,0
29643,8509|MrBrook,8509,1878,m,"Eliot, George,",The works of George Eliot,f,,1878,m,0
29355,3071|Ephraim,3071,1878,m,"Woodbury, J. W.",The first hunt;,u,,1878,m,0
36127,5672|Bigg,5672,1896,m,"Sir, Pemberton, Max,",A gentleman's gentleman,m,,1896,m,0
20147,9729|MrAram,9729,1859,m,"Lytton, Edward Bulwer Lytton, Baron,",Novels of Sir Edward Bulwer Lytton,m,,1859,m,0
25528,1755|Karl,1755,1862,m,"Ede, Charles.",Warm hearts in cold regions,m,,1862,m,0
28399,9382|Duff,9382,1872,m,"Lever, Charles James,",[Charles Lever's novels,m,,1872,m,0
37483,984|Goldthred,984,1899,m,"Whyte-Melville, G. J. (George John),","Contraband, or, A losing hazard",m,,1899,m,0
25102,4129|PaulHaverill,4129,1868,m,"Holmes, Mary Jane,",Rose Mather,f,,1868,m,0
33685,10154|Fritz,10154,1889,m,"Heimburg, W.,",Two daughters of one race,f,,1889,m,0
21080,903|Lucus,903,1858,m,"Le Cato, N. J. W. (Nathaniel James Walter),",Mahalinda;,u,,1858,m,0
