,docid,storyid,date,gender,author,title,authgender,nationality,firstpub,tags,birthdate
17210,11175|Gunnar,11175,1845,m,"Freiherr de, La Motte-Fouqué, Friedrich Heinrich Karl,",Thiodolf the Icelander,m,,1845,m,0
12698,10342|Mr.Inglewood,10342,1834,m,"Sir, Scott, Walter,",Waverley novels,m,,1834,m,0
190,13706|Flanders,13706,1796,m,"Smollett, T.","The miscellaneous works of Tobias Smollett, M. D",m,,1796,m,0
17453,10235|Drewett,10235,1844,m,"Cooper, James Fenimore,","Afloat and ashore; or, The adventures of Miles Wallingford",m,,1844,m,0
9718,8920|Frank,8920,1821,m,"Edgeworth, Maria,",Early lessons,f,,1821,m,0
5353,5635|Prince,5635,1812,m,,"Alexis, the tyrant of the East;",u,,1812,m,0
4933,10733|Henry,10733,1813,m,"Helme, Elizabeth,",Magdalen,f,,1813,m,0
8360,13186|Mr.Cleveland,13186,1827,m,"Ward, R. Plumer (Robert Plumer),",De Vere;,m,,1827,m,0
9508,4831|AdamWoodcock,4831,1829,m,"Sir, Scott, Walter,",The Waverley novels,m,,1829,m,0
5309,15039|DukedeRipperda,15039,1817,m,"Porter, Jane,",The pastor's fire-side,f,,1817,m,0
428,7801|Xavier,7801,1799,m,"Genlis, Stéphanie Félicité,","The young exiles, or, Correspondence of some juvenile emigrants",f,,1799,m,0
5114,14437|Hildebrand,14437,1818,m,"Scott, Walter Sir,",Rob Roy,m,,1818,m,0
242,14351|Segovia,14351,1797,m,"Le Sage, Alain René,",The adventures of Gil Blas of Santillane,m,,1797,m,0
8334,2301|William,2301,1825,m,"Hartstonge, Matthew Weld,",The eve of All-Hallows;,m,,1825,m,0
12923,9989|Mr.BoyneSillery,9989,1832,m,"L. E. L. (Letitia Elizabeth Landon),",Romance and reality,f,,1832,m,0
5161,15039|Castanos,15039,1817,m,"Porter, Jane,",The pastor's fire-side,f,,1817,m,0
17296,4133|Mr.Ferret,4133,1840,m,"Miles, Henry Downes,",Dick Turpin,m,,1840,m,0
15963,6487|Mr.Merrylees,6487,1848,m,"Wilson, John Mackay,","Wilson's historical, traditionary and imaginative tales of the borders and of Scotland",m,,1848,m,0
9239,13261|Mr.Domville,13261,1821,m,"(Benjamin) Frere, B.","Rank and fashion!, or, The mazes of life",m,,1821,m,0
16483,3768|Mr.Aubrey,3768,1841,m,"Mitford, Mary Russell,",The works of Mary Russell Mitford,f,,1841,m,0
5349,9999|Mr.Flam,9999,1810,m,"More, Hannah,",Cœlebs in search of a wife,f,,1810,m,0
4446,13878|Mr.Mordaunt,13878,1817,m,"Brooke, Frances,",Manners,f,,1817,m,0
