docid,genre
mdp.39015066058895,none
mdp.39015014228079,none
mdp.39015066013551,none
nyp.33433076039761,none
mdp.39015049418752,none
wu.89095151973,none
mdp.39015059391691,none
mdp.39015063779790,none
mdp.39015059389893,none
mdp.39015059384316,none
mdp.39015006992567,none
mdp.39015039791739,none
mdp.39015006995040,none
mdp.39015024220546,none
nyp.33433076065428,none
mdp.39015062264489,none
mdp.39015059389539,none
mdp.39015059377971,none
mdp.39015059400914,none
mdp.39015012325927,none
nyp.33433082181870,none
mdp.39015047761815,none
nyp.33433074850920,none
uc1.b3322327,none
mdp.39015059403967,none
mdp.39015059405236,none
mdp.39015059405202,none
nyp.33433074869045,none
mdp.39015059414626,none
nyp.33433074869557,none
mdp.39015070493674,none
mdp.39015059371495,none
nyp.33433020471631,none
uc1.b3687943,none
mdp.39015059405350,none
mdp.39015011398958,none
mdp.39015012372374,none
mdp.39015060430595,none
mdp.39015004288786,none
mdp.39015063023678,none
nyp.33433074811690,none
mdp.39015018062011,none
wu.89098855711,none
uc1.b3834661,none
mdp.39015059400336,none
mdp.39015059395148,none
nyp.33433074869573,none
mdp.39015059378847,none
nyp.33433074958491,none
nyp.33433074812508,none
uc1.b3834453,none
mdp.39015059404098,none
mdp.39015010959040,none
mdp.39015060430561,none
njp.32101064788415,none
mdp.39015018387319,none
mdp.39015059378482,none
nyp.33433074811518,none
mdp.39015012357565,none
nyp.33433074875612,none
mdp.39015012357607,none
mdp.39015059423098,none
mdp.39015059418312,none
mdp.39015013152551,none
nyp.33433074968201,none
mdp.39015063963394,none
mdp.39015063512027,none
mdp.39015063737681,none
mdp.39015063962255,none
mdp.39015014823929,none
mdp.39015012360593,none
mdp.39015063523479,none
mdp.39015063959954,none
mdp.39015063540747,none
mdp.39015063554029,none
mdp.39015068355588,none
mdp.39015027615056,none
nyp.33433076073471,none
nyp.33433066636915,none
inu.39000005786780,none
mdp.39015054507366,none
mdp.39015063972999,none
nyp.33433076062805,none
mdp.39015011958959,none
nyp.33433082168901,none
mdp.39015005207033,none
mdp.39015005210607,none
mdp.39015063760311,none
mdp.39015063959285,none
mdp.39015027996860,none
mdp.39015039414852,none
mdp.39015063759776,none
nyp.33433074846258,none
nyp.33433074943212,none
nyp.33433074943188,none
mdp.39015036870296,none
mdp.39015063960531,none
mdp.39015063760287,none
mdp.39015034751894,none
uc1.b3326408,none
mdp.39015012326305,none
nyp.33433076075815,none
mdp.39015028004284,none
mdp.39015063511664,none
mdp.39015014690542,none
nyp.33433076080856,none
mdp.39015063954773,none
mdp.39015063977790,none
mdp.39015063926870,none
nyp.33433076042690,none
mdp.39015023947578,none
nyp.33433076046857,none
nyp.33433076062680,none
mdp.39015063956604,none
mdp.39015059410772,none
mdp.39015063956828,none
mdp.39015031015236,none
nyp.33433076062037,none
uc1.b3727422,none
mdp.39015059483688,none
uc1.b4455488,none
mdp.39015059488034,none
mdp.39015005082436,none
mdp.39015059405426,none
mdp.39015059405657,none
mdp.39015059502651,none
mdp.39015039357044,none
mdp.39015059414675,none
nyp.33433074875992,none
mdp.39015057205364,none
mdp.39015059419104,none
mdp.39015059418536,none
mdp.39015063865045,none
nyp.33433076045974,none
mdp.39015053615897,none
mdp.39015059421845,none
mdp.39015059421993,none
mdp.39015059423056,none
mdp.39015059423015,none
mdp.39015051429937,none
mdp.39015070462331,none
mdp.39015059387343,none
mdp.39015009020440,none
nyp.33433074808878,none
nyp.33433076069495,none
mdp.39015059421829,none
uc1.b3710774,none
nyp.33433074964481,none
mdp.39015059410103,none
nyp.33433075754675,none
