docid,volid,recordid,author,firstname,inferreddate,birthdate,authgender,enumcron,title
10610,uva.x030803549,,"Livingston, Margaret Vere F.",,1888,,f,<blank>,Tales of King Arthur and his knights of the Round table
12455,njp.32101068142262,,"Livingston, Margaret Vere Farrington,",,1890,,f,<blank>,Fra Lippo Lippi
6360,nyp.33433076024185,,"Loughead, Flora Haines.",,1898,,f,<blank>,The black curtain
6361,nyp.33433076024177,,"Loughead, Flora Haines Apponyi,",,1886,,f,<blank>,The man who was guilty
11987,uc1.b4102046,,"Loughead, Flora Haines.",,1891,,f,<blank>,The abandoned claim
6656,uc2.ark+=13960=t07w6779k,,"Daniels, Cora Linn,",,1891,,f,<blank>,"Sardia, a story of love"
11602,njp.32101064788266,,"Daniels, Cora Linn Morrison,",,1899,,f,<blank>,The bronze Buddha;
3246,uc2.ark+=13960=t3901zs34,,"Browne, Tryphena Matilda,",,1888,,f,<blank>,The Musgrove ranch
12478,nyp.33433074930912,,"Browne, Tryphena Matilda Archer,",,1884,,f,<blank>," Not my way;  or, Good out of evil;"
4751,uc2.ark+=13960=t9r20tv0x,,"Lugard, Flora Louise Shaw,",,1881,,f,<blank>,Hector
6701,wu.89005373832,,"Lugard, Flora Louisa Shaw",,1884,,f,<blank>,A sea change
6851,uc1.b261268,,"Hillern, Frau Wilhelmine (Birch) von,",,1870,,f,<blank>,Only a girl
9925,uva.x001086577,,"Hillern, Wilhelmine von,",,1880,,f,<blank>,The hour will come;
10226,uc1.b3322502,,"Gascoigne, Caroline Leigh,",,1842,,f,v. 2,The school for wives
10226,uc1.b3322503,,"Gascoigne, Caroline Leigh,",,1842,,f,v. 3,The school for wives
14214,uiuo.ark+=13960=t3tt50h1f,,"Gascoigne, Caroline Leigh Smith,",,1847,,f,v.1,Evelyn Harcourt
14214,uiuo.ark+=13960=t1wd47k9n,,"Gascoigne, Caroline Leigh Smith,",,1847,,f,v.2,Evelyn Harcourt
14214,uiuo.ark+=13960=t16m3mq7h,,"Gascoigne, Caroline Leigh Smith,",,1847,,f,v.3,Evelyn Harcourt
49,nyp.33433074875372,,"Lytton, Edward Robert Bulwer Lytton,",,1863,,m,v. 1,The ring of Amasis
49,nyp.33433074875364,,"Lytton, Edward Robert Bulwer Lytton,",,1863,,m,v. 2,The ring of Amasis
344,inu.32000001298621,,"Lytton, Edward Bulwer Lytton,",,1862,,m,v.2,A strange story
689,hvd.hwkyrr,,"Lytton, Edward Bulwer Lytton,",,1838,,m,<blank>,Leila;
690,uc2.ark+=13960=t6c24sp9w,,"Lytton, Edward Bulwer Lytton,",,1843,,m,v.002,The last of the barons
692,uc2.ark+=13960=t7pn90n7s,,"Lytton, Edward Bulwer Lytton,",,1849,,m,v.3,The Caxtons
744,uva.x030825611,,"Lytton, Edward Bulwer Lytton,",,1862,,m,v.24,Zanoni
994,nyp.33433082300843,,"Lytton, Edward Bulwer Lytton,",,1866,,m,<blank>,The wooing of Master Fox
1136,uc2.ark+=13960=t55d91k3r,,"Lytton, Edward Bulwer Lytton,",,1841,,m,v.2,Night and morning
1438,nyp.33433074938063,,"Lytton, Edward Bulwer Lytton,",,1883,,m,<blank>,Pausanias the Spartan;
1749,nyp.33433076096456,,"Lytton, Edward Bulwer Lytton,",,1846,,m,v. 1,"Lucretia, or, The children of night"
1749,nyp.33433076096464,,"Lytton, Edward Bulwer Lytton,",,1846,,m,v. 2,"Lucretia, or, The children of night"
2336,mdp.39015055271483,,"Lytton, Edward Bulwer Lytton,",,1893,,m,v.2,Pelham;
2624,mdp.39015011447367,,"Lytton, Edward Bulwer Lytton,",,1893,,m,v.1,Paul Clifford
3193,nyp.33433074937586,,"Lytton, Edward Bulwer Lytton,",,1832,,m,v. 1,Eugene Aram
3193,nyp.33433074937578,,"Lytton, Edward Bulwer Lytton,",,1832,,m,v. 2,Eugene Aram
4063,uiuo.ark+=13960=t62524m46,,"Lytton, Edward Bulwer Lytton,",,1865,,m,v.2,"Harold, the last of the Saxon kings"
4207,uva.x030832708,,"Lytton, Edward Bulwer Lytton,",,1837,,m,v.5-6,Devereux
4216,uc2.ark+=13960=t87h1gw05,,"Lytton, Edward Bulwer Lytton,",,1848,,m,v.001,"Harold, the last of the Saxon kings;"
4216,uc2.ark+=13960=t5w66c784,,"Lytton, Edward Bulwer Lytton,",,1848,,m,v.003,"Harold, the last of the Saxon kings;"
4303,nyp.33433074938089,,"Lytton, Edward Bulwer Lytton,",,1883,,m,v. 1-2,"Pelham; or, Adventures of a gentleman"
4981,mdp.39015063561156,,"Lytton, Edward Bulwer Lytton,",,1892,,m,v.7,The novels of Lord Lytton
4982,mdp.39015063561370,,"Lytton, Edward Bulwer Lytton,",,1892,,m,v.8,The novels of Lord Lytton
4983,mdp.39015063561305,,"Lytton, Edward Bulwer Lytton,",,1892,,m,v.9,The novels of Lord Lytton
4984,mdp.39015063561313,,"Lytton, Edward Bulwer Lytton,",,1892,,m,v.10,The novels of Lord Lytton
4985,mdp.39015039414969,,"Lytton, Edward Bulwer Lytton,",,1892,,m,v.14,The novels of Lord Lytton
4986,mdp.39015063561362,,"Lytton, Edward Bulwer Lytton,",,1892,,m,v.17,The novels of Lord Lytton
4987,mdp.39015063562048,,"Lytton, Edward Bulwer Lytton,",,1892,,m,v.20,The novels of Lord Lytton
4988,mdp.39015063562014,,"Lytton, Edward Bulwer Lytton,",,1892,,m,v.21,The novels of Lord Lytton
4989,mdp.39015063876307,,"Lytton, Edward Bulwer Lytton,",,1892,,m,v.26,The novels of Lord Lytton
5465,mdp.39015014690971,,"Lytton, Edward Bulwer Lytton,",,1896,,m,v.1,Kenelm Chillingly
5465,mdp.39015014690963,,"Lytton, Edward Bulwer Lytton,",,1896,,m,v.2,Kenelm Chillingly
5641,uc2.ark+=13960=t1gh9cz03,,"Lytton, Edward Bulwer Lytton,",,1841,,m,v.001,Night and morning
5641,uc2.ark+=13960=t56d5r925,,"Lytton, Edward Bulwer Lytton,",,1841,,m,v.003,Night and morning
5910,uva.x030223689,,"Lytton, Edward Bulwer Lytton,",,1871,,m,<blank>,The coming race
6395,mdp.39015030760428,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.1 Pelham,[Novels]
6396,mdp.39015030760410,,"Lytton, Edward Bulwer Lytton,",,1890,,m,"v.2 Falkland, Zicci",[Novels]
6397,mdp.39015030760402,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.3 Devereux,[Novels]
6398,mdp.39015030760394,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.4 The Disowned,[Novels]
6399,mdp.39015019155483,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.5 Paul Clifford,[Novels]
6400,mdp.39015030760386,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.7 Godolphin,[Novels]
6401,mdp.39015010449729,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.8 The Last Days of Pompeii,[Novels]
6402,mdp.39015002204744,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.9 Rienzi,[Novels]
6403,mdp.39015005209823,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.15 Zanoni,[Novels]
6404,mdp.39015030760337,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.16 The Pilgrims of the Rhine,[Novels]
6405,mdp.39015005084556,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.17 Ernest Maltravers,[Novels]
6406,mdp.39015005084408,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.18 Alice,[Novels]
6407,mdp.39015030760345,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.19 Lucretia,[Novels]
6408,mdp.39015005311256,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.20 Night and Morning,[Novels]
6409,mdp.39015005311181,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.21 Kenelm Chillingly,[Novels]
6410,mdp.39015030760311,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.24 The Caxtons,[Novels]
6411,mdp.39015030760378,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.10 The Last of the Barons v.1,[Novels]
6412,mdp.39015030760329,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.22 The Parisians v.1,[Novels]
6413,mdp.39015014601903,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.23 The Parisians v.2,[Novels]
6414,mdp.39015030760303,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.25 My Novel v.1,[Novels]
6415,mdp.39015030760295,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.26 My Novel v.2,[Novels]
6416,mdp.39015030760287,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.27 My Novel v.3,[Novels]
6417,mdp.39015030760279,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.28 What Will He Do With It? v.1,[Novels]
6418,mdp.39015030760261,,"Lytton, Edward Bulwer Lytton,",,1890,,m,v.29 What Will He Do With It? v.2,[Novels]
6914,uva.x002742454,,"Lytton, Edward Bulwer Lytton,",,1896,,m,v.12,Lucretia;
7260,nyp.33433074938857,,"Lytton, Edward Bulwer Lytton,",,1833,,m,<blank>,Asmodeus at large
7530,uc2.ark+=13960=t2v40qs5w,,"Lytton, Edward Bulwer Lytton,",,1830,,m,v.2,Paul Clifford
7530,uc2.ark+=13960=t09w0fp97,,"Lytton, Edward Bulwer Lytton,",,1830,,m,v.3,Paul Clifford
7811,nyp.33433074938865,,"Lytton, Edward Bulwer Lytton,",,1838,,m,<blank>,"Calderon, the courtier"
7958,hvd.hwecc4,,"Lytton, Edward Bulwer Lytton,",,1838,,m,v.1,Alice
